mass_1_source mass_2_source a_1 a_2 spin_1x spin_2x spin_1y spin_2y spin_1z spin_2z cos_tilt_1 cos_tilt_2 phi_1 phi_2 phi_12 eccentricity mean_anomaly redshift ra dec detection_time cos_iota psi phi_orb mass_1_detector mass_2_detector luminosity_distance
2.973855782e+01 1.565626717e+01 3.944492638e-01 2.188935876e-01 -2.347419262e-01 -2.427313775e-01 1.357286572e-01 -3.895051405e-02 -7.227303833e-02 3.966380376e-03 4.797768593e-02 -5.034449100e-01 2.848878860e+00 2.901261091e+00 6.104537487e+00 1.258789301e-01 5.023940563e+00 3.327394128e-01 9.121373296e-01 -6.455500126e-01 2.926980286e+02 -3.579139709e-03 1.478253007e+00 2.065601051e-01 3.963374808e+01 2.086572431e+01 1.805149013e+03
7.092903137e+01 6.423782349e+01 5.880851150e-01 1.073509604e-01 4.228474796e-01 1.068872809e-01 -1.015127227e-01 -1.318722516e-01 -3.905753195e-01 1.159964800e-01 5.874950886e-01 8.695633411e-01 6.737748384e-01 8.794690967e-01 3.487132490e-01 4.635170102e-02 5.334116459e+00 1.317532182e+00 1.735814691e+00 9.308421612e-01 3.772320068e+03 1.699783802e-01 7.205912471e-01 4.429252625e+00 1.643803128e+02 1.488732232e+02 9.543810653e+03
6.670165253e+01 4.594861984e+01 3.602792323e-01 2.049854696e-01 -1.178111061e-01 -1.313541271e-02 8.400551975e-02 2.145966291e-01 2.226942629e-01 -8.640427142e-02 1.199982166e-01 9.359200001e-01 5.902702808e+00 1.842305779e+00 3.586853981e+00 1.035422906e-01 4.654697895e+00 3.099814355e-01 2.051776409e+00 4.840312004e-01 4.306487305e+03 5.709457397e-02 9.487480521e-01 1.849815369e+00 8.737792653e+01 6.019183898e+01 1.662971132e+03
6.351042557e+01 3.720024872e+01 3.770105243e-01 6.970946491e-02 1.022850629e-02 -2.939325571e-01 -2.647686005e-01 -5.030113086e-02 -2.224529982e-01 -1.450027078e-01 2.526111603e-01 4.527745247e-01 4.451738358e+00 1.513021946e+00 4.826657295e+00 7.788872719e-02 5.506068230e+00 4.171238244e-01 1.522528380e-01 9.869632721e-01 4.540685730e+02 -1.128497124e-01 2.338166475e+00 5.614284515e+00 9.000213717e+01 5.271735873e+01 2.352418073e+03
2.818000984e+01 1.154455566e+01 2.983377874e-01 3.469434008e-02 1.337766498e-01 -8.554893732e-02 3.210400417e-02 3.338076174e-01 1.279824227e-01 5.729332194e-02 -3.786840439e-01 -4.598519802e-01 1.827520251e+00 2.649626017e+00 3.348244190e+00 1.200666055e-01 6.083019733e+00 1.960989088e-01 5.476807594e+00 -2.620105743e-01 1.763451782e+03 3.689212799e-01 1.967394054e-01 1.309261680e+00 3.370607902e+01 1.380843043e+01 9.894537694e+02
1.024472237e+01 5.285232067e+00 1.290340573e-01 1.392201334e-01 -7.411207259e-02 8.660653979e-02 -3.203270957e-02 2.172097713e-01 -1.791174561e-01 1.274620444e-01 7.813639641e-01 -1.422910690e-01 2.624321461e+00 3.836910009e+00 5.980401993e+00 3.173664585e-02 1.687530994e+00 9.819081426e-02 5.162842274e+00 -4.963612556e-01 1.733324097e+03 -8.389027119e-01 1.117515206e+00 1.229067683e+00 1.125066000e+01 5.804193307e+00 4.661762034e+02
4.140884018e+01 3.546180725e+01 6.046334505e-01 9.344712645e-02 -3.526282310e-02 2.566244602e-01 6.432631612e-02 -3.311750591e-01 -1.553331167e-01 -2.011389285e-01 -7.277998924e-01 7.956550121e-01 5.537061214e+00 4.217373848e+00 5.924631119e+00 1.984546930e-01 1.763397813e+00 4.325587153e-01 3.023702502e-01 2.866265774e-01 1.981376465e+03 5.879371166e-01 2.418890476e+00 4.175726414e+00 5.932059489e+01 5.080112104e+01 2.455770065e+03
4.360626602e+01 4.016912460e+01 4.291110933e-01 2.183682844e-02 -2.310715914e-01 3.200157583e-01 -2.000198215e-01 2.001643479e-01 1.509983744e-02 -1.917538606e-02 -7.185270786e-01 -9.572939873e-01 2.837609768e+00 4.896063805e+00 9.529578686e-01 2.793291509e-01 2.587494612e+00 4.637964368e-01 6.124924660e+00 -8.058121204e-01 1.489356934e+03 -1.793842316e-01 4.123341143e-01 7.013992667e-01 6.383069682e+01 5.879942146e+01 2.667846734e+03
6.157822132e+00 5.311707020e+00 5.674278736e-01 5.305305868e-02 -4.781318605e-01 2.603128850e-01 -2.398719639e-01 -2.558356822e-01 -1.723923832e-01 3.704282641e-02 -4.259786606e-01 4.369156361e-01 3.384470940e+00 4.564049244e+00 8.627511263e-01 1.964219958e-01 4.006608963e+00 2.276140451e+00 3.152414560e+00 -9.028747082e-01 1.533907227e+03 -3.627221584e-01 3.056685925e+00 5.889663219e+00 2.017389018e+01 1.740189823e+01 1.865347655e+04
6.351042557e+01 3.720024872e+01 3.770105243e-01 6.970946491e-02 1.022850629e-02 -2.939325571e-01 -2.647686005e-01 -5.030113086e-02 -2.224529982e-01 -1.450027078e-01 2.526111603e-01 4.527745247e-01 4.451738358e+00 1.513021946e+00 4.826657295e+00 7.788872719e-02 5.506068230e+00 4.171238244e-01 1.522528380e-01 9.869632721e-01 4.540685730e+02 -1.128497124e-01 2.338166475e+00 5.614284515e+00 9.000213717e+01 5.271735873e+01 2.352418073e+03
7.886188507e+01 5.411412811e+01 2.544186711e-01 3.439091444e-01 -2.834347188e-01 -3.235614896e-01 5.001145601e-02 -2.060155869e-01 -1.617545187e-01 -1.831814349e-01 7.834868431e-01 -2.367854118e-02 3.833828449e+00 2.904452562e+00 4.890880108e+00 2.747761607e-01 4.406157017e+00 7.462931871e-01 2.230594635e+00 9.752752781e-01 2.834767578e+03 8.166368008e-01 2.388291359e-01 7.738184333e-01 1.377159726e+02 9.449913325e+01 4.740469079e+03
1.959251976e+01 1.868445969e+01 1.442895234e-01 2.216406167e-01 1.452706009e-01 9.069567919e-02 1.169581935e-01 4.203149974e-01 -1.097239256e-01 5.863714218e-02 9.147067070e-01 -4.772965908e-01 1.085529566e+00 1.446312428e+00 5.997438908e+00 8.205523342e-02 4.976730347e+00 2.055441618e+00 8.873120546e-01 8.816599846e-02 3.149180984e+01 2.414000034e-01 2.715495825e+00 4.430511951e+00 5.986380028e+01 5.708927573e+01 1.647531746e+04
2.293672371e+01 2.026796341e+01 1.766958833e-02 1.655439436e-01 7.234595716e-02 -2.613715827e-01 -1.717569083e-01 5.022242665e-02 -1.741067618e-01 -1.858256310e-01 -7.015919685e-02 5.465817451e-02 1.401334882e+00 5.471197128e+00 5.607285500e+00 9.501646273e-03 3.895378828e+00 2.134172201e+00 2.498483181e+00 3.138482571e-01 3.153291260e+03 7.652523518e-01 3.585582674e-01 3.374645472e+00 7.188764183e+01 6.352328749e+01 1.724774059e+04
7.017223358e+01 3.309412003e+01 4.652396590e-02 1.108678207e-01 -1.339672655e-01 -3.653376102e-01 -3.586214408e-02 -9.075766057e-02 -4.827081691e-03 2.347008288e-01 -8.021168709e-01 -9.445014000e-01 4.505087435e-01 2.125000238e+00 1.057770371e+00 5.885300413e-02 1.897156000e+00 4.158964157e-01 4.472242355e+00 3.042824268e-01 8.882051392e+02 -4.787492752e-01 1.860571146e+00 6.208573341e+00 9.935661401e+01 4.685784593e+01 2.344240985e+03
2.103146553e+01 1.921731758e+01 1.120998422e-04 2.028474659e-01 -1.788676828e-01 2.198869735e-01 1.154939681e-01 2.936510742e-01 2.121312469e-01 1.682247370e-01 -3.608584404e-01 -6.902575493e-02 5.678245544e+00 2.162345886e+00 3.816356421e+00 9.443694353e-02 1.790903091e+00 1.387652159e+00 1.539020181e+00 -5.700783730e-01 1.918450073e+03 3.112623692e-01 1.983142048e-01 2.845295429e+00 5.021582408e+01 4.588426981e+01 1.017380497e+04
3.222253036e+01 3.086094856e+01 1.741498709e-01 2.227195352e-01 9.453642182e-03 1.257009208e-01 1.539177299e-01 1.372549087e-01 -3.997932374e-02 -5.297070369e-02 5.341396332e-01 -2.523598671e-01 2.605954707e-01 3.097641230e+00 5.140565395e+00 7.259517908e-02 1.594394803e+00 3.285193443e-01 4.158689976e+00 4.525046349e-01 2.079950684e+03 2.902460098e-01 5.010087490e-01 4.169171333e+00 4.280825491e+01 4.099936715e+01 1.778604253e+03
5.513842392e+01 4.959175873e+01 1.103986651e-01 6.700047255e-01 -1.507803351e-01 -5.086640120e-01 1.929786056e-01 -2.505175769e-01 5.385125428e-02 -3.056660891e-01 -1.382830143e-01 4.766821861e-01 2.341569424e+00 5.895267487e+00 3.598577499e+00 1.559600830e-01 4.235758305e+00 8.078871965e-01 5.939284563e-01 -2.591185570e-01 4.610618164e+03 -4.455318451e-01 1.347764730e-01 3.773890257e+00 9.968405064e+01 8.965630566e+01 5.224130572e+03
4.148107147e+01 3.041778755e+01 6.635373831e-02 2.911927402e-01 -3.220648766e-01 2.702821493e-01 -2.876477540e-01 1.038022637e-01 2.563082380e-03 3.096602857e-01 1.382939816e-01 9.268474579e-02 1.437701821e+00 3.407264948e-01 4.166360855e+00 1.211748347e-01 6.065960884e+00 1.901691854e-01 1.673446536e+00 9.962937832e-01 9.297001343e+02 -9.845058918e-01 2.473481178e+00 4.973236322e-01 4.936949304e+01 3.620231343e+01 9.562230271e+02
5.173227310e+01 1.862506294e+01 2.394339591e-01 4.091052115e-01 2.288464308e-01 5.936140567e-02 1.361098439e-01 -1.681683809e-01 -1.707951538e-02 -1.241058260e-01 -8.224596977e-01 -2.611715794e-01 1.575244784e+00 5.452527523e+00 3.485182047e+00 1.702638119e-01 4.827421188e+00 6.413499117e-01 2.509349108e+00 7.300496101e-01 1.166043091e+03 -6.956276894e-01 2.895182848e+00 1.484030604e+00 8.491076189e+01 3.057024542e+01 3.940713981e+03
5.816510773e+01 5.436050797e+01 3.184080822e-03 6.578069925e-01 1.771059185e-01 1.928322315e-01 1.426287740e-01 1.299730986e-01 -9.788838029e-02 -2.096795291e-02 -9.022915363e-01 1.045904160e-01 5.129266262e+00 1.764239788e+00 4.966912270e+00 3.135781288e-01 1.801691890e+00 3.996796310e-01 5.815257072e+00 -2.837774754e-01 2.080947021e+03 3.269431591e-01 1.582035661e+00 1.353760600e+00 8.141251652e+01 7.608729573e+01 2.236787531e+03
6.217911530e+01 5.668934631e+01 1.213383600e-01 1.785581410e-01 2.587034367e-02 -9.997091442e-02 6.859283149e-02 2.454266548e-01 2.746353149e-01 2.637366354e-01 -8.482170105e-01 1.709609032e-01 3.879937172e+00 4.047981262e+00 6.264080524e+00 2.819588184e-01 1.562292099e+00 8.003723621e-01 3.431993723e+00 1.334571838e-01 2.487862793e+03 8.406085968e-01 1.896865010e+00 3.709171534e+00 1.119455607e+02 1.020619323e+02 5.164590320e+03
7.113722229e+01 7.030733490e+01 6.465788484e-01 1.137448102e-01 -1.268050373e-01 -1.550766081e-01 -3.656610474e-02 9.735029191e-03 -8.535788953e-02 3.006715141e-02 -1.122782230e-01 7.013411522e-01 6.153401375e+00 4.614797115e+00 1.256644130e+00 2.707919180e-01 1.874142528e+00 2.784228325e-01 4.629454613e+00 3.819508553e-01 4.722387207e+03 -1.769249439e-01 6.344168186e-01 2.995205402e+00 9.094344922e+01 8.988250223e+01 1.469848840e+03
2.890448189e+01 2.173987770e+01 2.417336106e-01 5.508577228e-01 -7.539937645e-02 -1.507562846e-01 -1.504221093e-02 3.278491199e-01 -3.230939209e-01 -8.363984525e-02 6.672084332e-01 -7.161760330e-01 1.393145204e+00 2.299980402e+00 1.199369311e+00 3.038761020e-01 7.482860088e-01 3.426536024e-01 4.782627106e+00 8.876175880e-01 2.073676758e+03 5.533597469e-01 1.291488290e+00 8.605459929e-01 3.880870673e+01 2.918912511e+01 1.867829151e+03
2.656439590e+01 2.125607300e+01 1.934862584e-01 2.730557323e-02 -1.465676278e-01 -1.771965176e-01 -1.670335531e-01 3.165205568e-02 -1.050999686e-01 8.346158080e-03 6.696498394e-01 3.105015755e-01 1.278653145e+00 3.832018137e+00 3.399864733e-01 8.981700242e-02 4.223049164e+00 2.944392264e-01 5.677099228e+00 4.335367680e-01 4.940868164e+03 -5.730304718e-01 4.306782186e-01 5.505052090e+00 3.438599608e+01 2.751469469e+01 1.567265210e+03
2.656439590e+01 2.125607300e+01 1.934862584e-01 2.730557323e-02 -1.465676278e-01 -1.771965176e-01 -1.670335531e-01 3.165205568e-02 -1.050999686e-01 8.346158080e-03 6.696498394e-01 3.105015755e-01 1.278653145e+00 3.832018137e+00 3.399864733e-01 8.981700242e-02 4.223049164e+00 2.944392264e-01 5.677099228e+00 4.335367680e-01 4.940868164e+03 -5.730304718e-01 4.306782186e-01 5.505052090e+00 3.438599608e+01 2.751469469e+01 1.567265210e+03
7.361982346e+00 6.765101433e+00 4.266992956e-02 1.336313635e-01 2.426040620e-01 -8.527449518e-02 1.029053479e-01 -8.914820850e-03 4.192672670e-01 -1.496007740e-01 4.795379639e-01 3.001766205e-01 1.891211867e+00 4.803253651e+00 3.908308268e+00 2.899013460e-01 3.320034027e+00 1.241456568e-01 3.029525280e+00 3.838920593e-02 1.458897827e+03 -9.217207432e-01 2.405730247e+00 5.687807560e+00 8.275940479e+00 7.604959394e+00 5.994832687e+02
2.012773323e+01 7.683159828e+00 1.830667406e-01 5.829131603e-01 -7.095442712e-02 1.464978009e-01 9.179954231e-02 -1.967207901e-02 -9.709636867e-02 -1.409571767e-01 6.879217625e-01 5.626137257e-01 1.791882157e+00 2.146342516e+00 5.322558403e+00 1.112958193e-01 1.440601200e-01 2.211613178e+00 3.338211298e+00 -3.402149677e-01 3.554781738e+03 -1.873154640e-01 3.961157203e-01 4.546692848e+00 6.464249329e+01 2.467533735e+01 1.801254943e+04
1.034586334e+01 1.001360226e+01 6.940407157e-01 4.945749883e-03 3.198070228e-01 6.200138852e-02 6.859979779e-02 3.526514471e-01 1.977568120e-01 3.011169136e-01 3.033406734e-01 6.539158821e-01 4.558773041e+00 3.743322134e+00 3.128361464e+00 9.800725430e-02 2.816304207e+00 1.990184039e-01 5.741564274e+00 -7.952780724e-01 4.278469727e+03 -7.336854935e-02 1.229862809e+00 4.794365883e+00 1.240488055e+01 1.200649340e+01 1.005884852e+03
7.113722229e+01 7.030733490e+01 6.465788484e-01 1.137448102e-01 -1.268050373e-01 -1.550766081e-01 -3.656610474e-02 9.735029191e-03 -8.535788953e-02 3.006715141e-02 -1.122782230e-01 7.013411522e-01 6.153401375e+00 4.614797115e+00 1.256644130e+00 2.707919180e-01 1.874142528e+00 2.784228325e-01 4.629454613e+00 3.819508553e-01 4.722387207e+03 -1.769249439e-01 6.344168186e-01 2.995205402e+00 9.094344922e+01 8.988250223e+01 1.469848840e+03
6.208013058e+00 5.923319340e+00 5.263157487e-01 1.050143763e-01 1.207950935e-01 4.804797098e-02 -1.846412569e-01 2.852601409e-01 1.048460528e-01 -2.353967726e-01 7.204816341e-01 1.073069572e-01 5.047777891e-01 2.263614178e+00 1.781829596e+00 2.790891565e-02 5.204554200e-01 2.102564335e+00 2.688753128e+00 5.636956692e-01 2.845467285e+03 9.719929695e-01 4.805973917e-02 4.805243015e+00 1.926075990e+01 1.837747933e+01 1.693700282e+04
6.818703651e+00 5.593984604e+00 3.582614660e-01 7.533443626e-03 -4.582151398e-02 9.001504630e-02 -1.838327497e-01 -4.177332819e-01 -8.542623371e-02 6.971921772e-02 -1.281094551e-01 1.116950512e-01 5.376506805e+00 6.258774281e+00 8.772085905e-01 4.126959667e-02 5.834920883e+00 1.491314024e-01 8.917244673e-01 5.250921249e-01 1.476455078e+03 7.211668491e-01 1.215326667e+00 5.181946754e+00 7.835586489e+00 6.428223373e+00 7.315695469e+02
4.067812729e+01 3.778512955e+01 3.890022337e-01 2.995482683e-01 7.767977566e-02 -1.597337723e-01 -1.148240343e-01 1.928762048e-01 4.394258186e-02 -1.418134570e-01 -3.298115730e-01 -1.806190014e-01 3.579655170e+00 1.022041678e+00 4.642288208e+00 7.376088947e-02 2.578462124e+00 2.116002321e+00 5.253439426e+00 -9.082221985e-01 2.071228027e+03 1.240708828e-01 2.450745106e+00 5.274846077e+00 1.267531391e+02 1.177385514e+02 1.706900935e+04
7.567317200e+01 6.372683334e+01 2.237644345e-01 1.611649543e-01 -1.934614219e-02 1.506231911e-02 6.445743144e-02 -3.958255798e-02 1.302673072e-01 -6.266721338e-02 -4.911010265e-01 9.892749786e-02 5.304263234e-01 3.824331164e-01 5.293988705e+00 1.793642715e-02 5.442679405e+00 1.006625533e+00 4.306143284e+00 3.078241348e-01 5.065334167e+02 -3.177800179e-01 2.083707333e+00 4.962375462e-01 1.518477191e+02 1.278758909e+02 6.847326840e+03
7.361982346e+00 6.765101433e+00 4.266992956e-02 1.336313635e-01 2.426040620e-01 -8.527449518e-02 1.029053479e-01 -8.914820850e-03 4.192672670e-01 -1.496007740e-01 4.795379639e-01 3.001766205e-01 1.891211867e+00 4.803253651e+00 3.908308268e+00 2.899013460e-01 3.320034027e+00 1.241456568e-01 3.029525280e+00 3.838920593e-02 1.458897827e+03 -9.217207432e-01 2.405730247e+00 5.687807560e+00 8.275940479e+00 7.604959394e+00 5.994832687e+02
5.302730560e+01 3.512801361e+01 2.419004887e-01 4.103485346e-01 -1.432486176e-01 -1.039731875e-01 -4.801968113e-02 3.808599710e-02 -1.329404861e-01 9.724367410e-02 4.966220856e-01 -8.366181850e-01 1.644026756e+00 5.572016239e+00 3.121585131e+00 7.884561270e-02 3.885392189e+00 5.792666674e-01 6.275201797e+00 6.285901070e-01 1.951516968e+03 3.157234192e-01 7.022958398e-01 2.805180550e+00 8.374425620e+01 5.547650099e+01 3.483383848e+03
5.664093781e+01 4.325648880e+01 2.071541399e-01 4.316962361e-01 -3.687650338e-02 -1.065268144e-01 1.967019588e-01 -1.413303614e-01 1.833740622e-01 -4.652047064e-03 -3.314335346e-01 -5.882499218e-01 3.263520956e+00 5.271881580e+00 1.355278015e+00 4.695524648e-02 4.390187263e+00 7.131452560e-01 4.795418739e+00 -7.665772438e-01 2.050906250e+03 -6.176435947e-01 7.041885853e-01 1.292219281e+00 9.703415390e+01 7.410464858e+01 4.484420694e+03
5.503637314e+00 5.420206070e+00 2.349866182e-01 2.578424215e-01 4.451102912e-01 3.635957837e-01 -7.867336273e-02 -2.322463989e-01 -1.481612772e-01 2.399342507e-02 7.142887115e-01 1.405777931e-01 4.735923290e+00 2.108602762e+00 1.311426997e+00 6.627854705e-02 5.713704228e-01 1.558126658e-01 4.272022247e+00 2.287430763e-01 2.623970215e+03 7.366847992e-01 2.326935768e+00 1.875529051e+00 6.361173715e+00 6.264742827e+00 7.675000881e+02
5.772508621e+00 5.085253239e+00 1.153374091e-01 1.575077772e-01 -1.418369561e-01 -1.426576227e-01 -1.903587282e-01 -1.400573403e-01 -1.242853142e-02 8.504902571e-02 -1.156282425e-02 6.124193668e-01 1.126848936e+00 2.959085703e+00 3.761067152e+00 6.205028668e-02 4.339712143e+00 1.905081719e-01 7.619742751e-01 7.709655762e-01 1.681081543e+03 -2.791118622e-02 1.112440228e+00 5.137136936e+00 6.872218686e+00 6.054035537e+00 9.581175911e+02
4.148107147e+01 3.041778755e+01 6.635373831e-02 2.911927402e-01 -3.220648766e-01 2.702821493e-01 -2.876477540e-01 1.038022637e-01 2.563082380e-03 3.096602857e-01 1.382939816e-01 9.268474579e-02 1.437701821e+00 3.407264948e-01 4.166360855e+00 1.211748347e-01 6.065960884e+00 1.901691854e-01 1.673446536e+00 9.962937832e-01 9.297001343e+02 -9.845058918e-01 2.473481178e+00 4.973236322e-01 4.936949304e+01 3.620231343e+01 9.562230271e+02
3.222253036e+01 3.086094856e+01 1.741498709e-01 2.227195352e-01 9.453642182e-03 1.257009208e-01 1.539177299e-01 1.372549087e-01 -3.997932374e-02 -5.297070369e-02 5.341396332e-01 -2.523598671e-01 2.605954707e-01 3.097641230e+00 5.140565395e+00 7.259517908e-02 1.594394803e+00 3.285193443e-01 4.158689976e+00 4.525046349e-01 2.079950684e+03 2.902460098e-01 5.010087490e-01 4.169171333e+00 4.280825491e+01 4.099936715e+01 1.778604253e+03
3.339236069e+01 2.259576225e+01 2.267250270e-01 5.708308890e-02 5.196591020e-01 -2.810653150e-01 3.547675908e-01 -9.838740528e-02 5.452286825e-02 1.188064367e-01 -7.069571018e-01 -9.752318859e-01 4.251650333e+00 2.304358244e+00 1.059517860e+00 1.434994489e-01 6.493277848e-02 7.318452001e-01 4.224695683e+00 4.247236252e-01 3.422211670e+03 -8.438708782e-01 1.389160514e+00 5.115647793e+00 5.783039957e+01 3.913236240e+01 4.628490895e+03
6.670165253e+01 4.594861984e+01 3.602792323e-01 2.049854696e-01 -1.178111061e-01 -1.313541271e-02 8.400551975e-02 2.145966291e-01 2.226942629e-01 -8.640427142e-02 1.199982166e-01 9.359200001e-01 5.902702808e+00 1.842305779e+00 3.586853981e+00 1.035422906e-01 4.654697895e+00 3.099814355e-01 2.051776409e+00 4.840312004e-01 4.306487305e+03 5.709457397e-02 9.487480521e-01 1.849815369e+00 8.737792653e+01 6.019183898e+01 1.662971132e+03
8.929333687e+00 7.533508778e+00 5.597809330e-02 3.673650920e-01 -1.550410986e-01 2.702520462e-03 2.147679627e-01 -2.311214060e-02 1.207654849e-01 -2.622638643e-01 3.214597702e-01 5.151209831e-01 6.650196016e-02 1.360138416e+00 2.616418600e+00 1.689012349e-01 5.771629810e+00 2.235682726e+00 6.167540073e+00 -8.733718395e-01 2.968845215e+03 -6.376023293e-01 2.579062462e+00 2.430600882e+00 2.889249076e+01 2.437604422e+01 1.825124303e+04
6.406323242e+01 5.941405487e+01 1.156984791e-01 1.233606115e-01 -3.385693133e-01 1.128537804e-01 -6.786628067e-02 -2.905466221e-02 -8.823652752e-03 -2.756596208e-01 9.055104256e-01 -2.612783909e-01 6.179667950e+00 2.983243704e+00 1.755083799e+00 1.133247539e-01 2.053160667e+00 7.218204141e-01 5.871679306e+00 3.399925232e-01 2.417003784e+02 -4.967212677e-03 8.158249855e-01 2.616569042e+00 1.103053814e+02 1.023003326e+02 4.551134639e+03
6.785387993e+00 6.238818645e+00 1.925132573e-01 4.562553465e-01 1.539237648e-01 1.848181337e-01 3.502648175e-01 -3.622554243e-02 -1.607789844e-01 -2.664954029e-02 -3.127384186e-02 -7.318892479e-01 2.932959497e-01 6.121058464e+00 1.115631700e+00 4.449211061e-02 1.790741324e+00 1.830893397e+00 3.086794138e+00 4.928472042e-01 2.631270752e+03 3.434450626e-01 1.516599536e+00 6.173606515e-01 1.920871007e+01 1.766143051e+01 1.430298731e+04
